Horodatage;Machine;Taux de production (u/min);Température (°C);Pression (bar);Défauts détectés;Énergie Consommée (kWh)
2024-03-01 08:00;Soufflage;125;190.0;6.9;Bulles d'air (2%);2.65
2024-03-01 08:05;Carottage;100;7.0;1.0;Fuites (1.5%);1.1
2024-03-01 08:10;Remplissage;126;5.0;1.0;Bulles d'air (2%);1.59
2024-03-01 08:15;Carottage;108;6.4;1.0;Fuites (1.5%);2.42
2024-03-01 08:20;Carottage;133;5.9;1.0;Mauvais alignement (0.8%);2.97
2024-03-01 08:25;Soufflage;142;139.4;7.4;Fuites (1.5%);2.21
2024-03-01 08:30;Remplissage;139;6.3;1.0;Bulles d'air (2%);1.29
2024-03-01 08:35;Carottage;139;6.3;1.0;Bulles d'air (2%);2.86
2024-03-01 08:40;Carottage;110;6.2;1.0;Rayures (1%);2.85
2024-03-01 08:45;Carottage;114;4.9;1.0;Aucun;2.22
2024-03-01 08:50;Soufflage;146;153.3;4.8;Mauvais alignement (0.8%);2.13
2024-03-01 08:55;Remplissage;150;5.8;1.0;Rayures (1%);1.38
2024-03-01 09:00;Soufflage;113;144.3;6.4;Déformation (1%);2.68
2024-03-01 09:05;Étiquetage;117;5.4;1.0;Mauvais alignement (0.8%);2.49
2024-03-01 09:10;Étiquetage;117;7.4;1.0;Déformation (1%);1.77
2024-03-01 09:15;Étiquetage;139;7.1;1.0;Fuites (1.5%);2.8
2024-03-01 09:20;Étiquetage;125;6.8;1.0;Déformation (1%);2.44
2024-03-01 09:25;Étiquetage;119;7.4;1.0;Aucun;1.62
2024-03-01 09:30;Étiquetage;117;6.8;1.0;Aucun;2.57
2024-03-01 09:35;Remplissage;121;7.4;1.0;Déformation (1%);1.13
2024-03-01 09:40;Soufflage;101;174.3;6.6;Aucun;1.28
2024-03-01 09:45;Soufflage;120;123.4;5.6;Mauvais alignement (0.8%);1.74
2024-03-01 09:50;Étiquetage;107;6.2;1.0;Bulles d'air (2%);2.42
2024-03-01 09:55;Remplissage;100;4.6;1.0;Bulles d'air (2%);1.13
2024-03-01 10:00;Soufflage;123;170.2;5.1;Rayures (1%);2.58
2024-03-01 10:05;Remplissage;114;6.6;1.0;Déformation (1%);1.28
2024-03-01 10:10;Étiquetage;137;6.1;1.0;Mauvais alignement (0.8%);2.58
2024-03-01 10:15;Soufflage;112;121.8;4.8;Bulles d'air (2%);1.32
2024-03-01 10:20;Remplissage;139;7.4;1.0;Aucun;1.22
2024-03-01 10:25;Étiquetage;107;7.1;1.0;Rayures (1%);2.18
2024-03-01 10:30;Étiquetage;148;5.6;1.0;Mauvais alignement (0.8%);1.46
2024-03-01 10:35;Carottage;140;5.7;1.0;Mauvais alignement (0.8%);2.8
2024-03-01 10:40;Remplissage;110;6.2;1.0;Bulles d'air (2%);1.83
2024-03-01 10:45;Étiquetage;141;6.4;1.0;Rayures (1%);2.66
2024-03-01 10:50;Soufflage;117;117.4;5.8;Mauvais alignement (0.8%);2.34
2024-03-01 10:55;Étiquetage;133;6.9;1.0;Fuites (1.5%);1.15
2024-03-01 11:00;Carottage;130;5.6;1.0;Fuites (1.5%);1.53
2024-03-01 11:05;Étiquetage;111;6.7;1.0;Bulles d'air (2%);1.77
2024-03-01 11:10;Étiquetage;150;6.6;1.0;Déformation (1%);1.25
2024-03-01 11:15;Carottage;137;6.8;1.0;Aucun;2.15
2024-03-01 11:20;Carottage;109;6.5;1.0;Fuites (1.5%);2.52
2024-03-01 11:25;Carottage;137;6.8;1.0;Bulles d'air (2%);1.68
2024-03-01 11:30;Soufflage;148;104.8;5.0;Rayures (1%);1.82
2024-03-01 11:35;Soufflage;119;172.9;5.2;Bulles d'air (2%);2.08
2024-03-01 11:40;Soufflage;129;196.1;5.2;Bulles d'air (2%);1.24
2024-03-01 11:45;Soufflage;103;137.3;4.6;Bulles d'air (2%);2.52
2024-03-01 11:50;Carottage;108;6.0;1.0;Mauvais alignement (0.8%);2.42
2024-03-01 11:55;Soufflage;108;138.6;6.0;Mauvais alignement (0.8%);2.6
2024-03-01 12:00;Remplissage;116;5.2;1.0;Fuites (1.5%);2.15
2024-03-01 12:05;Remplissage;110;5.6;1.0;Bulles d'air (2%);2.92
2024-03-01 12:10;Soufflage;103;197.7;6.3;Rayures (1%);2.53
2024-03-01 12:15;Carottage;114;6.4;1.0;Mauvais alignement (0.8%);1.06
2024-03-01 12:20;Étiquetage;142;5.2;1.0;Bulles d'air (2%);1.59
2024-03-01 12:25;Carottage;128;7.0;1.0;Mauvais alignement (0.8%);1.89
2024-03-01 12:30;Étiquetage;107;7.2;1.0;Déformation (1%);2.21
2024-03-01 12:35;Soufflage;111;176.1;4.7;Déformation (1%);2.01
2024-03-01 12:40;Soufflage;102;151.4;5.7;Fuites (1.5%);1.25
2024-03-01 12:45;Soufflage;121;162.5;4.5;Aucun;2.32
2024-03-01 12:50;Soufflage;143;179.8;6.0;Rayures (1%);1.31
2024-03-01 12:55;Remplissage;105;5.9;1.0;Fuites (1.5%);2.82
2024-03-01 13:00;Soufflage;118;152.6;7.6;Mauvais alignement (0.8%);1.55
2024-03-01 13:05;Remplissage;108;5.5;1.0;Bulles d'air (2%);2.01
2024-03-01 13:10;Étiquetage;144;5.8;1.0;Mauvais alignement (0.8%);2.3
2024-03-01 13:15;Étiquetage;135;6.7;1.0;Bulles d'air (2%);2.89
2024-03-01 13:20;Soufflage;149;131.4;5.5;Mauvais alignement (0.8%);2.3
2024-03-01 13:25;Remplissage;118;6.4;1.0;Mauvais alignement (0.8%);2.33
2024-03-01 13:30;Remplissage;137;7.4;1.0;Aucun;2.05
2024-03-01 13:35;Carottage;106;6.3;1.0;Aucun;1.19
2024-03-01 13:40;Soufflage;144;197.6;6.2;Bulles d'air (2%);2.2
2024-03-01 13:45;Étiquetage;100;6.0;1.0;Rayures (1%);2.34
2024-03-01 13:50;Soufflage;108;151.8;5.2;Aucun;2.17
2024-03-01 13:55;Remplissage;104;6.9;1.0;Bulles d'air (2%);2.02
2024-03-01 14:00;Soufflage;122;156.9;4.9;Aucun;2.22
2024-03-01 14:05;Carottage;102;6.7;1.0;Fuites (1.5%);1.21
2024-03-01 14:10;Carottage;144;5.2;1.0;Rayures (1%);1.47
2024-03-01 14:15;Remplissage;122;5.1;1.0;Rayures (1%);1.19
2024-03-01 14:20;Carottage;136;6.0;1.0;Mauvais alignement (0.8%);1.73
2024-03-01 14:25;Étiquetage;104;6.0;1.0;Rayures (1%);1.06
2024-03-01 14:30;Étiquetage;111;6.9;1.0;Fuites (1.5%);1.99
2024-03-01 14:35;Étiquetage;114;4.5;1.0;Déformation (1%);2.8
2024-03-01 14:40;Carottage;109;6.1;1.0;Déformation (1%);2.8
2024-03-01 14:45;Carottage;141;5.3;1.0;Fuites (1.5%);1.09
2024-03-01 14:50;Étiquetage;102;5.9;1.0;Bulles d'air (2%);2.71
2024-03-01 14:55;Carottage;148;5.5;1.0;Déformation (1%);1.11
2024-03-01 15:00;Remplissage;109;6.8;1.0;Rayures (1%);1.97
2024-03-01 15:05;Remplissage;129;7.2;1.0;Aucun;1.01
2024-03-01 15:10;Soufflage;105;103.2;5.2;Déformation (1%);1.38
2024-03-01 15:15;Carottage;109;7.0;1.0;Bulles d'air (2%);2.04
2024-03-01 15:20;Soufflage;148;139.7;6.1;Bulles d'air (2%);1.91
2024-03-01 15:25;Étiquetage;124;5.1;1.0;Rayures (1%);1.43
2024-03-01 15:30;Carottage;111;5.7;1.0;Fuites (1.5%);2.28
2024-03-01 15:35;Soufflage;100;120.8;5.1;Mauvais alignement (0.8%);2.81
2024-03-01 15:40;Remplissage;106;5.6;1.0;Bulles d'air (2%);2.82
2024-03-01 15:45;Carottage;115;5.5;1.0;Aucun;2.2
2024-03-01 15:50;Soufflage;113;156.2;5.0;Fuites (1.5%);2.71
2024-03-01 15:55;Carottage;101;7.3;1.0;Déformation (1%);1.26
2024-03-01 16:00;Soufflage;146;170.9;4.9;Déformation (1%);1.3
2024-03-01 16:05;Soufflage;130;169.9;6.4;Rayures (1%);2.34
2024-03-01 16:10;Soufflage;134;179.2;5.0;Bulles d'air (2%);1.4
2024-03-01 16:15;Étiquetage;141;6.7;1.0;Rayures (1%);1.45
2024-03-01 16:20;Étiquetage;106;5.5;1.0;Aucun;2.31
2024-03-01 16:25;Carottage;139;6.0;1.0;Mauvais alignement (0.8%);1.65
2024-03-01 16:30;Remplissage;149;4.9;1.0;Mauvais alignement (0.8%);2.24
2024-03-01 16:35;Carottage;130;5.5;1.0;Bulles d'air (2%);1.84
2024-03-01 16:40;Carottage;129;6.6;1.0;Mauvais alignement (0.8%);2.28
2024-03-01 16:45;Carottage;146;4.8;1.0;Aucun;1.34
